Genus,Species
Anchoa,A. cayorum
,A. cubana
,A. hepsetus
,A. lamprotaenia
,A. lyolepis
,A. mitchilli
Eucinostomus,E. argenteus
,E. gula
,E. harengulus
,E. havana
,E. jonesii
,E. lefroyi
,E. melanopterus
